"Category","Number of objects","Objects automatically converted","Objects with simple actions","Objects with medium-complexity actions","Objects with complex actions","Total lines of code"
"PROCEDURE","4","2","1","0","1","128"
"VIEW","3","0","2","1","0","50"
"INDEX","7","7","0","0","0","77"
"CONSTRAINT","33","33","0","0","0","57"
"TABLE","24","24","0","0","0","515"
"SCHEMA","1","1","0","0","0","1"
"SQL_syntax_elements_number","2196","2195","","",""
"Storage_objects_count","65","65","","",""
"Code_objects_count","7","5","","",""

"Source database: 10.1.3.182"
"Oracle Database 21c Express Edition 21.3.0.0.0 (Production), Express edition"
